experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0
r1e88vn4eg69sq,e1,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.038267483384743936,False,False,0.9664896769031555,0.005774096666433258
r1e88vn4eg69sq,e3,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03897311053483191,False,False,1.248105514971941,0.018267607859912504
r1e88vn4eg69sq,e4,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.039559827453234934,False,False,2.248097413068172,0.05912159052829281
r1e88vn4eg69sq,e5,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,30.0,nM,35.0,celsius,0.03925970081050973,False,False,1.7091755850150279,0.03605691214721082
r1e88vn4eg69sq,e6,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,20.0,nM,35.0,celsius,0.03756608315496916,False,False,1.801770852519402,0.036536016612124675
r1e88vn4eg69sq,e7,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.03967967403705439,False,False,2.322785779748801,0.06896581958862205
r1e88vn4eg69sq,f1,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.038863611748384166,False,False,0.8866555086170684,0.004247777168502767
r1e88vpdr9u4jk,a1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.3274507065650616,False,False,2.360822737314097,0.15612680829312528
r1e88vpdr9u4jk,a2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.04438555698955286,False,False,1.654662099568131,0.06435812713789449
r1e88vpdr9u4jk,a3,MediaControl,transcriptic,Media_control,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.0360748341530319,False,False,,
r1e88vpdr9u4jk,a4,MediaControl,transcriptic,Media_control,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.035236805643471966,False,False,,
r1e88vpdr9u4jk,b1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.04036460219595574,False,False,0.9969037708222283,0.014022058211068502
r1e88vpdr9u4jk,b2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.04012682310133568,False,False,0.6958145610534416,0.0013136507734409788
r1e88vpdr9u4jk,b3,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.03959791486789139,False,False,0.7275724678833487,0.002353029975613014
r1e88vpdr9u4jk,b4,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.05578893170257558,False,False,2.8936066127941067,0.21013931316550974
r1e88vpdr9u4jk,b5,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,20.0,nM,35.0,celsius,0.0590323418905662,False,False,2.1978761503354196,0.15694461602810417
r1e88vpdr9u4jk,b6,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.05634664059198492,False,False,2.3079799909815657,0.1690430407922348
r1e88vpdr9u4jk,b7,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,30.0,nM,35.0,celsius,0.06053065298457611,False,False,2.458582929656829,0.1813973642389404
r1e88vpdr9u4jk,c1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.038635652809257466,False,False,1.558828006575826,0.03840757393091165
r1e88vpdr9u4jk,c2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.0399048607250212,False,False,0.7018421392662967,0.0013347319944417683
r1e88vpdr9u4jk,c3,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.053181796788892,False,False,1.7975189018737037,0.10247820539835217
r1e88vpdr9u4jk,c4,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.05735394845808929,False,False,2.298176486654615,0.16064298846373976
r1e88vpdr9u4jk,c5,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,20.0,nM,35.0,celsius,0.06015968145709422,False,False,2.2286868027220352,0.1544189060827705
r1e88vpdr9u4jk,c6,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.057980039379311475,False,False,2.169262059335945,0.13967900191687868
r1e88vpdr9u4jk,c7,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,30.0,nM,35.0,celsius,0.06417919396380868,False,False,2.6229536726841802,0.172897262339618
r1e88vpdr9u4jk,d1,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.04016311859908468,False,False,1.473420980913445,0.044850883428107995
r1e88vpdr9u4jk,d3,UWBF_34313,transcriptic,CRISPR_CEN.PK2_34313,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.034489797764896864,True,True,,
r1e88vpdr9u4jk,d4,UWBF_34313,transcriptic,CRISPR_CEN.PK2_34313,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.03628572351356861,True,True,,
r1e88vpdr9u4jk,d5,UWBF_34313,transcriptic,CRISPR_CEN.PK2_34313,Synthetic_Complete,doxycycline-hyclate,20.0,nM,35.0,celsius,0.03483274772858328,True,True,,
r1e88vpdr9u4jk,d6,UWBF_34313,transcriptic,CRISPR_CEN.PK2_34313,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.036509778732785526,True,True,,
r1e88vpdr9u4jk,d7,UWBF_34313,transcriptic,CRISPR_CEN.PK2_34313,Synthetic_Complete,doxycycline-hyclate,30.0,nM,35.0,celsius,0.03510946357659598,True,True,,
r1e88vpdr9u4jk,e1,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03829338178762906,False,False,0.7389884761495423,0.0018942985217471286
r1e88vpdr9u4jk,e3,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.11018160629654518,False,False,3.5307981382720213,0.2976702578421638
r1e88vpdr9u4jk,e4,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.10432116836186696,False,False,4.165472449990842,0.29384287031266476
r1e88vpdr9u4jk,e5,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,20.0,nM,35.0,celsius,0.04867951854273146,False,False,2.22683769235965,0.12151506169698373
r1e88vpdr9u4jk,e6,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.037563950558659034,False,False,1.3536829012113265,0.020713115215031573
r1e88vpdr9u4jk,e7,UWBF_34316,transcriptic,CRISPR_CEN.PK2_34316,Synthetic_Complete,doxycycline-hyclate,30.0,nM,35.0,celsius,0.1671193723516933,False,False,3.626344179221691,0.26022121002144266
r1e88vpdr9u4jk,f1,UWBF_23970,transcriptic,CRISPR_CEN.PK2_negative_control_23970,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.04389550383631794,False,False,1.7508994808211196,0.09351021383468817
